Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Condo,3.0,3.0,1.0,Yankin,1750.0,1150.0
Condo,3.0,3.0,1.0,Yankin,1100.0,950.0
Condo,2.0,2.0,10.0,Lanmadaw,929.0,660.0
Apartment,2.0,3.0,4.0,Hlaing,1496.0,450.0
Condo,2.0,2.0,7.0,Okkalappa North,1045.0,279.0
Apartment,2.0,2.0,0.5,Thaketa,825.0,197.0
Apartment,1.0,1.0,6.0,Thaketa,810.0,97.5
Apartment,1.0,1.0,2.0,Thaketa,972.0,186.0
Apartment,2.0,1.0,5.0,Thaketa,972.0,133.0
Apartment,1.0,1.0,1.0,Thaketa,972.0,235.0
Condo,1.0,1.0,8.0,Yankin,450.0,470.0
Condo,1.0,1.0,22.0,Yankin,450.0,480.0
Condo,2.0,1.0,14.0,Yankin,780.0,700.0
Condo,2.0,1.0,3.0,Yankin,780.0,640.0
Condo,2.0,1.0,6.0,Yankin,800.0,660.0
Condo,4.0,3.0,2.0,Ahlon,2205.0,1850.0
Condo,3.0,2.0,1.0,Okkalappa South,1199.0,850.0
Apartment,2.0,2.0,3.0,Okkalappa South,972.0,288.0
House,7.0,6.0,3.0,Mayangone,2976.0,4500.0
House,5.0,6.0,2.0,Mayangone,7000.0,5600.0
House,5.0,5.0,2.0,Mayangone,7000.0,5600.0
House,5.0,2.0,2.0,Mayangone,3000.0,2600.0
Apartment,2.0,1.0,1.0,Hlaing,750.0,249.0
House,6.0,7.0,3.0,Dagon Myothit (North),2460.0,2350.0
House,7.0,3.0,3.0,Dagon Myothit (North),1200.0,795.0
Apartment,3.0,2.0,1.0,Bahan,900.0,480.0
Condo,2.0,2.0,1.0,Sanchaung,1065.0,730.0
Condo,2.0,2.0,1.0,Ahlon,2000.0,1100.0
Condo,2.0,2.0,1.0,Thingangkuun,1059.0,640.0
Apartment,1.0,1.0,3.0,Mayangone,575.0,85.0
House,4.0,4.0,2.0,Dagon Myothit (North),2400.0,1250.0
House,4.0,3.0,1.0,Dagon Myothit (North),6603.0,3500.0
